iata,name,city,country,lat,lon
AMS,Amsterdam Schiphol,Amsterdam,Netherlands,52.308613,4.763889
ATH,Athens Eleftherios Venizelos,Athens,Greece,37.936389,23.944444
CDG,Charles de Gaulle,Paris,France,49.009722,2.547778
LHR,London Heathrow,London,United Kingdom,51.4775,-0.461389
JFK,John F. Kennedy,New York,United States,40.641311,-73.778139
MXP,Malpensa,Milan,Italy,45.630556,8.728111
